Name,Address,Phone Number,Website,Rating,Recent Review,Email,Business,Area
Druther Homes,"1295 Old US Hwy 1 STE A, Southern Pines, NC 28387, USA",(910) 725-5220,https://druther.homes/,5,"We sold our home to Druthers and would highly recommend..Joseph was really great to work with..super smooth transition..a good honest Christian man of his word..we got a good honest fair price and couldn't be any happier with how much a pleasure dealing with Joseph...i didn't know selling a home could be so easy...no endless showings, staging for buyer or other hassle in conventional real estate dealing. THANKS DRUTHER'S..",angela@druther.homes,General Contractors,"Aberdeen, NC"
BVH Construction Services,"248 N Trade St, Seven Lakes, NC 27376, USA",(910) 673-6383,http://www.bvhconstruction.com/,4.6,"BVH Construction met our timeline, was under budget and, most importantly,  were a pleasure to work with.

Bob and his team built our new home in 2019/2020. Our previous two homes were built by another local builder, but this time we decided to use BVH, and we had a superior experience with Bob and BVH. There are a few factors that we value as customers including:

- clear and timely communication
- expertise in craft
- local/family owned
- on time
- on budget

BVH met or exceeded our expectations in all of these categories when previous builders have not. In fact, Bob came in under budget by a decent amount due to his local knowledge and relationships that he has in the building community.

I would not hesitate to work with BVH again.",admin@bvhconstruction.com,General Contractors,"Aberdeen, NC"
West End Garden & Maintenance Ltd,"25 Albyn Ln, Aberdeen AB10 6XF, UK",01224 583777,http://www.westendgardening.co.uk/,5,I have been using West End Garden & Maintenance for a few years now to cut my grass and bushes. I am always amazed at how quickly and neatly Andy does the job. A very professional company. Would definitely recommend.,enquiries@westendgardening.co.uk,Landscaping Services,Aberdeen
The Southern Landscape Group,"290 Ridgeline Rd A, Aberdeen, NC 28315, USA",(910) 944-2361,https://www.tslg.org/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.6,"Update 09/22/2022:   They’ve just completed an amazing patio renovation for us.  Kenny, John and Pedro and his team are great to work with.  Great communication and attention to detail.  Workmanship is excellent.  I highly recommend for landscaping projects and maintenance

This company is doing an excellent job taking care of our lawn.  The employees are friendly and they take pride in their work.  We’re very happy with the attention to detail by TSLG.",mdouglas@tslg.org,Landscaping Services,Aberdeen
Leave It To Me Gardening Services,"8 Thorngrove Ave, Aberdeen AB15 7XS, UK",07732 185830,https://leaveittome-gardening.co.uk/,5,"Thanks, great job, grass looking good now :)",info@leaveittome-gardening.co.uk,Landscaping Services,Aberdeen
Life Landscaping Ltd,"Greenmoss, Aberdeen AB21 0SE, UK",07800 760394,http://www.life-landscaping.co.uk/,4.2,"Life Landscaping did a great job replacing our fence. It wasn't a huge job for them to take on but the impact it's had on the garden is massive. The garden was left clean and tidy, the guys were friendly and cheerful and the work was done quickly and exactly how we wanted.  Thanks so much! Highly recommended",kirsty@life-landscaping.co.uk,Landscaping Services,Aberdeen
Tactical Trees,"713 Sun Rd, Aberdeen, NC 28315, USA",(910) 292-1036,https://tacticaltrees.com/,5,"They were prompt in responding to my inquiry. They showed up on time and listened to what I was looking for. The estimate was prompt and Thorough.

They showed up to do the work on time, worked diligently throughout the day, asked me a couple times some specific questions, and completed everything to my satisfaction.

I would strongly recommend their services",hello@tacticaltrees.com,Tree Services,"Aberdeen, NC"
Superior Tree Service,"421 Carolina Rd, Aberdeen, NC 28315, USA",(910) 639-2180,http://superiortree.com/,5,"Anyone looking for our reviews,
Due to Google constantly changing their  settings, our reviews have been lost….
We have been in this area for over 20+ years and mainly focus on repeat and referrals, If you need something done shoot us a email and if we’re able to schedule we will and if not we will refer you to one of our trusted competitors",steve@superiortree.com,Tree Services,"Aberdeen, NC"
"Dave's Tree Service, LLC","530 Wits End Trail, Vass, NC 28394, USA",(910) 603-7177,http://www.davestreeservicenc.com/,4.9,"Absolutely a great company! I would recommend them to anyone. They showed up, removed 4 BIG pine trees that were beside the trailer, and cleaned everything up exceptionally well.",office@davestreeservicenc.com,Tree Services,"Aberdeen, NC"
Southern Pines Tree Service,"239 Midlothian Dr, Southern Pines, NC 28387, USA",(910) 292-1036,https://southernpinestreeservice.com/,5,"We had an outstanding experience with Southern Pine Tree Service! From the initial consultation to the completion of the job, their team demonstrated exceptional professionalism and expertise.

The crew worked efficiently, safely, and with attention to detail, leaving our property looking great.

What impressed us most was the exceptional customer service and communication. Sam was friendly, courteous, and responsive to our needs.

We highly recommend Southern Pine Tree Service to anyone seeking reliable, top-notch tree care. Their commitment to quality work and customer satisfaction is evident in everything they do",info@southernpinestreeservice.com,Tree Services,"Aberdeen, NC"
Mac's Tree Services,"2832 Farm Life School Rd, Carthage, NC 28327, USA",(910) 690-2059,http://www.macstree.services/,4.6,We recently hired Mac to remove trees around our house.   It was amazing to watch them work.  Removed huge Oak tree leaning over our patio - they cut it limb by limb then from the top down without damaging the patio or landscaping!!   They cleaned up everything twig and piece of sawdust. Mac and his crew were professional and courteous.  Highly recommend!!,info@macstree.services,Tree Services,"Aberdeen, NC"
Burford's Tree,"151 Ridgeline Rd, Aberdeen, NC 28315, USA",(910) 944-0744,https://burfordstree.com/,1.8,"I would give a negative number if I could, but talk about a company that feels NO responsibility to clean up or even not kill my ornamental trees and shrubs.  Since I unfortunately did not hire them, Duke Energy sends them, and Duke does NOT care either about the poor service and downright hostile encounters with some of the trimmers. No accountability means they can do whatever they feel like or not and nothing that can be done by the customer.",jacob-byrd@burfordstree.com,Tree Services,"Aberdeen, NC"
Concrete Service Co. Plant 4,"229 Lee Paving Dr, Aberdeen, NC 28315, USA",(910) 483-0396,https://www.concreteservice.com/,5,,lannyclark@concreteservice.com,Concrete Contractors,"Aberdeen, NC"
Concrete Supply Co.,"3023 NC-5, Aberdeen, NC 28315, USA",(910) 944-7157,http://www.concretesupplyco.com/,,No reviews,todd.morris@concretesupplyco.com,Concrete Contractors,"Aberdeen, NC"
Heritage Concrete Co,"140 Deep River Rd, Sanford, NC 27330, USA",(919) 775-5014,http://www.heritageconcreteservice.com/,4.5,"Communication was great at start , concrete came in dry and they said they were only 20 min away from my home. I called and gave the complaint dispatch blamed the driver and driver blamed dispatch. No accountability and will not recommend. You can see from pic the hopper had a mound the size of mount everest.",info@heritageconcreteservice.com,Concrete Contractors,"Aberdeen, NC"
"JD Contractors, LLC","550 S Ashe St, Southern Pines, NC 28387, USA",(910) 725-2224,http://www.jdcontractorsllc.net/,5,,holly@jdcontractorsllc.net,Concrete Contractors,"Aberdeen, NC"
"Emerald Painting, Inc.","575 SE Broad St, Southern Pines, NC 28387, USA",(910) 613-8007,https://www.emeraldpaintinginc.com/,5,"We just had the entire interior of our home painted by Emerald Painting, and we couldn’t be happier with the results. The crew handled a wide range of colors and sheens flawlessly, giving each room exactly the look and feel we were going for.

One of the standout projects was our single-car garage, which has 16-foot ceilings and is being converted into a golf simulator room. They tackled the space with precision and care—it looks absolutely fantastic.

They also completely enveloped our powder room with rich color, transforming it into a bold, dramatic space that really pops.

Jared and his team were professional, meticulous, and a pleasure to work with from start to finish. Highly recommend Emerald Painting if you’re looking for quality work and attention to detail.

Thank you Emerald Painting!",stephen@emeraldpaintinginc.com,Painting Contractors,"Aberdeen, NC"
All Star Painting,"1515 Longleaf Dr E, Pinehurst, NC 28374, USA",(910) 638-7944,https://www.allstarpaintingnc.com/,5,"All Star Painting did an outstanding job on our exterior painting project! From start to finish, Juan and his team was professional, punctual, and detail-oriented.  They worked efficiently, kept the area clean, and were always respectful of our property. If you’re looking for reliable service, and a company that truly takes pride in their work, I highly recommend All Star Painting. They exceeded our expectations, and we couldn’t be happier with the results.",aaron@allstarpaintingnc.com,Painting Contractors,"Aberdeen, NC"
360° Painting of Pinehurst,"515 S Carlisle St, Southern Pines, NC 28387, USA",(910) 400-0401,https://www.360painting.com/pinehurst/,5,"I just retired and initially planned to paint my kitchen and hallway area to finally have a uniform light gray from one end of the house to the other. But I knew it would be well worth the money to have this professionally done. I did a quick Google search and kept seeing all the positive reviews for 360 Painting of Pinehurst. I made the call and Nic, the sales rep, talked with me making suggestions and taking pictures of the areas I was interested in. I was happy with his positive spirit, as he described his team and how well they work together. I received a proposal right away via email and found the price very reasonable and was well worth it! The interior painting was all completed the first day and very professionally done. I was also happy to have met with the color consultant, Belinda, for advice on painting the house shutters. Her color recommendations were perfect for the look I wanted. Also thank you to Nick, who oversaw completion of the project and in doing the final walk over with me to be sure of my satisfaction. And special thanks to the team of painters, in working in this heat wave, most likely the hottest day of the season. They were very professional and pleasant to work with. I give them a 2 thumbs up and 5-start rating and recommend them for their quality and overall ease with the courteous and friendly vibe every step of the way!",amcgraw@360painting.com,Painting Contractors,"Aberdeen, NC"
